job_title_normalized,category_clean,experience_bucket,state_region,avg_salary_myr
General - Accounting,Accounting,1-3,Kuala Lumpur,3350.0
Cybersecurity Specialist,Information And Communication Technology,1-3,Selangor,3500.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3360.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3750.0
Admin / Support,Accounting,1-3,Kuala Lumpur,2950.0
Talent Acquisition / Sourcing Specialist,Human Resources And Recruitment,1-3,Kuala Lumpur,5000.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Kedah,2250.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Penang,3000.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,5000.0
General - Accounting,Accounting,1-3,Johor,4125.0
General - IT,Information And Communication Technology,Intern/<1,Kuala Lumpur,3750.0
Admin / Support,Accounting,Intern/<1,Kuala Lumpur,3200.0
Engineer,Engineering,1-3,Selangor,3750.0
General - Banking & Finance,Banking And Financial Services,Intern/<1,Kuala Lumpur,4650.0
Admin / Support,Accounting,Intern/<1,Johor,2650.0
General - IT,Information And Communication Technology,Intern/<1,Selangor,4100.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Kuala Lumpur,3500.0
Engineer,Engineering,1-3,Sarawak,2750.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Penang,4500.0
HR / Recruitment Executive,Human Resources And Recruitment,1-3,Kuala Lumpur,2900.0
Admin / Support,Accounting,1-3,Kuala Lumpur,2650.0
Project / Planning / Coordination,Engineering,1-3,Kuala Lumpur,3000.0
Secretary / Personal Assistant,Administration And Office Support,1-3,Selangor,3750.0
Direct Sales / Advisors / Consultants,Sales,1-3,Perak,1700.0
Software Developer,Information And Communication Technology,Intern/<1,Kuala Lumpur,3500.0
General - Accounting,Accounting,1-3,Kuala Lumpur,5250.0
General - Accounting,Accounting,1-3,Johor,2650.0
General - Administration,Administration And Office Support,Intern/<1,Penang,2200.0
Business Support / Coordinator,Administration And Office Support,1-3,Kuala Lumpur,900.0
Admin Assistant / Clerk,Administration And Office Support,1-3,Selangor,3500.0
Administrative / Assistance,Sales,4-5,Selangor,10000.0
General - Accounting,Accounting,4-5,Selangor,3600.0
General - Accounting,Accounting,1-3,Perak,7750.0
Admin / Support,Accounting,Intern/<1,Kuala Lumpur,5000.0
General - Accounting,Accounting,Intern/<1,Johor,4100.0
Admin Assistant / Clerk,Administration And Office Support,Intern/<1,Selangor,2600.0
Administrative / Assistance,Sales,1-3,Johor,2600.0
General - Accounting,Accounting,1-3,Kuala Lumpur,2250.0
HR Executive,Human Resources And Recruitment,1-3,Penang,3750.0
Engineer,Engineering,1-3,Selangor,5500.0
HR Executive,Human Resources And Recruitment,Intern/<1,Selangor,4500.0
Drafting / Cad / Bim,Engineering,1-3,Johor,1850.0
General - Accounting,Accounting,1-3,Selangor,4500.0
IT Manager,Information And Communication Technology,4-5,Kuala Lumpur,7000.0
General - Accounting,Accounting,1-3,Penang,2625.0
General - Sales,Sales,1-3,Selangor,4600.0
General - Accounting,Accounting,Intern/<1,Selangor,3500.0
Admin / Support,Accounting,1-3,Selangor,3750.0
HR / Recruitment Executive,Human Resources And Recruitment,4-5,Kuala Lumpur,5750.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Selangor,3400.0
Engineer,Engineering,6-10,Johor,4500.0
General - Accounting,Accounting,1-3,Selangor,3500.0
HR Executive,Human Resources And Recruitment,1-3,Selangor,3300.0
Engineer,Engineering,Intern/<1,Kuala Lumpur,2900.0
Software Developer,Information And Communication Technology,1-3,Kuala Lumpur,6666.5
Engineer,Engineering,1-3,Kuala Lumpur,3500.0
Technicians / Skilled Trades,Trades And Services,Intern/<1,Kuala Lumpur,2400.0
General - IT,Information And Communication Technology,1-3,Kuala Lumpur,10200.0
Manufacturing Executive,"Manufacturing, Transport And Logistics",1-3,Kuala Lumpur,4000.0
General - Accounting,Accounting,Intern/<1,Selangor,2800.0
